DTC Kodu,Başlık,Alt Sistem,Öncelik,Neden Sayısı,Adım Sayısı
P0101,Kütle Hava Akış (MAF) Sensörü Devre Aralığı / Performansı (MAF Circuit Range/Performance),"Yakıt & Hava Ölçümü (MAF, MAP Sensörleri)",MEDIUM,5,3
P0128,Soğutma Suyu Termostatı Çalışma Sıcaklığının Altında (Coolant Thermostat Below Regulating Temp),Motor Soğutma & Termal Yönetim,LOW,5,3
P0171,Sistem Çok Fakir - Bank 1 (System Too Lean - Bank 1),Yakıt Ölçümü & Karışım Kontrolü,MEDIUM,6,3
P0172,Sistem Çok Zengin - Bank 1 (System Too Rich - Bank 1),Yakıt Ölçümü & Karışım Kontrolü,MEDIUM,6,3
P0300,Rastgele / Çoklu Silindir Tekleme Tespiti (Random/Multiple Cylinder Misfire Detected),Ateşleme Sistemi & Tekleme (Misfire) Tespiti,MEDIUM,6,3
P0420,Katalizör Sistem Verimliliği Eşik Değerin Altında - Bank 1 (Catalyst Efficiency Below Threshold),Yardımcı Emisyon Kontrolleri (Katalizör Sistemi),MEDIUM,5,3
P0442,EVAP Yakıt Buharı Emisyon Kontrol Sistemi Küçük Kaçak (EVAP Small Leak Detected),Yardımcı Emisyon Kontrolleri (EVAP Yakıt Buhar Deposu),LOW,5,3
P0500,Araç Hız Sensörü 'A' Arızası (Vehicle Speed Sensor 'A' Malfunction),"Araç Hızı, Rölanti Kontrolü & Yardımcı Girişler",MEDIUM,4,3
P0700,Şanzıman Kontrol Sistemi Arıza İkazı (Transmission Control System Malfunction),Otomatik Şanzıman & Hidrolik Kontrol Sistemi,MEDIUM,4,3
U0100,Motor Kontrol Modülü (ECM/PCM 'A') ile İletişim Kaybı (Lost Communication With ECM/PCM),CAN Veri Yolu & Ağ İletişimi (Network),CRITICAL_STOP,4,3
P0010,"""A"" Camshaft Position Actuator Circuit (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,2
P0011,"""A"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,36,3
P0014,"""B"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,27,3
P0016,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor A),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,45,3
P0030,HO2S Heater Control Circuit B1S1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,3
U0001,High Speed CAN Communication Bus,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,5,4
U0002,High Speed CAN Communication Bus Performance,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0003,High Speed CAN Communication Bus (+) Open,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0004,High Speed CAN Communication Bus (+) Low,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0005,High Speed CAN Communication Bus (+) High,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
