mid_hex,mid_name,mid_name_tr,subsystem,tid_hex,test_name,test_name_tr,uasid,unit,formula,scale,offset,cid_hex,limit_type,hex_range
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x01,Rich-to-Lean Sensor Switch Voltage,Zenginden Fakire Geçiş Eşik Voltajı,0x01,mV,raw * 0.1,0.1,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x02,Lean-to-Rich Sensor Switch Voltage,Fakirden Zengine Geçiş Eşik Voltajı,0x01,mV,raw * 0.1,0.1,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x05,Rich-to-Lean Sensor Switch Time,Zenginden Fakire Geçiş Süresi,0x07,ms,raw * 1.0,1.0,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x06,Lean-to-Rich Sensor Switch Time,Fakirden Zengine Geçiş Süresi,0x07,ms,raw * 1.0,1.0,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x07,Sensor Transition Period,Sensör Dalgalanma Periyodu,0x07,ms,raw * 1.0,1.0,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x03,Low Sensor Voltage for Switch Time Calculation,,0x0A,,,1.0,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x04,High Sensor Voltage for Switch Time Calculation,,0x0A,,,1.0,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x80,Rich to Lean Switches Test Results,,0x2B,,,1.0,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x81,Lean to Rich Switches Test Results,,0x2B,,,1.0,0.0,,,
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x82,Rich-Lean Response to Lean-Rich Response Ratio,,0x20,,,1.0,0.0,,,
